Flight Date,Airline,Airline IATA,Flight Number,Departure Airport,Departure IATA,Departure Scheduled,Departure Actual,Departure Delay,Arrival Airport,Arrival IATA,Arrival Scheduled,Arrival Actual,Arrival Delay,Flight Status,Aircraft,Departure Hour,Day of Week,Is Delayed,Route
2026-04-30,ITA Airways,AZ,895.0,Cairo International Airport,CAI,2026-04-30 03:45:00+00:00,2026-04-30T03:45:00+00:00,0.0,Leonardo Da Vinci (Fiumicino),FCO,2026-04-30 07:10:00+00:00,2026-04-30T07:10:00+00:00,0.0,scheduled,,3,Thursday,False,CAI → FCO
2026-04-30,Saudia,SV,6317.0,Cairo International Airport,CAI,2026-04-30 03:45:00+00:00,2026-04-30T03:45:00+00:00,0.0,Leonardo Da Vinci (Fiumicino),FCO,2026-04-30 07:10:00+00:00,2026-04-30T07:10:00+00:00,0.0,scheduled,,3,Thursday,False,CAI → FCO
2026-04-30,Brussels Airlines,SN,4202.0,Cairo International Airport,CAI,2026-04-30 03:45:00+00:00,2026-04-30T03:45:00+00:00,0.0,Leonardo Da Vinci (Fiumicino),FCO,2026-04-30 07:10:00+00:00,2026-04-30T07:10:00+00:00,0.0,scheduled,,3,Thursday,False,CAI → FCO
2026-04-30,Lufthansa,LH,5231.0,Cairo International Airport,CAI,2026-04-30 03:45:00+00:00,2026-04-30T03:45:00+00:00,0.0,Leonardo Da Vinci (Fiumicino),FCO,2026-04-30 07:10:00+00:00,2026-04-30T07:10:00+00:00,0.0,scheduled,,3,Thursday,False,CAI → FCO
2026-04-30,AirSERBIA,JU,7262.0,Cairo International Airport,CAI,2026-04-30 03:45:00+00:00,2026-04-30T03:45:00+00:00,0.0,Leonardo Da Vinci (Fiumicino),FCO,2026-04-30 07:10:00+00:00,2026-04-30T07:10:00+00:00,0.0,scheduled,,3,Thursday,False,CAI → FCO
2026-04-30,Bulgaria Air,FB,1750.0,Cairo International Airport,CAI,2026-04-30 03:45:00+00:00,2026-04-30T03:45:00+00:00,0.0,Leonardo Da Vinci (Fiumicino),FCO,2026-04-30 07:10:00+00:00,2026-04-30T07:10:00+00:00,0.0,scheduled,,3,Thursday,False,CAI → FCO
2026-04-30,Etihad Airways,EY,2854.0,Cairo International Airport,CAI,2026-04-30 03:45:00+00:00,2026-04-30T03:45:00+00:00,0.0,Leonardo Da Vinci (Fiumicino),FCO,2026-04-30 07:10:00+00:00,2026-04-30T07:10:00+00:00,0.0,scheduled,,3,Thursday,False,CAI → FCO
2026-04-30,Air Canada,AC,9889.0,Cairo International Airport,CAI,2026-04-30 03:45:00+00:00,2026-04-30T03:45:00+00:00,0.0,Leonardo Da Vinci (Fiumicino),FCO,2026-04-30 07:10:00+00:00,2026-04-30T07:10:00+00:00,0.0,scheduled,,3,Thursday,False,CAI → FCO
2026-04-30,Air Cairo,SM,501.0,Cairo International Airport,CAI,2026-04-30 03:30:00+00:00,2026-04-30T03:30:00+00:00,0.0,Sharjah,SHJ,2026-04-30 09:00:00+00:00,2026-04-30T09:00:00+00:00,0.0,scheduled,,3,Thursday,False,CAI → SHJ
2026-04-30,Nile Air,NP,141.0,Cairo International Airport,CAI,2026-04-30 03:30:00+00:00,2026-04-30T03:30:00+00:00,0.0,Jazan,GIZ,2026-04-30 07:30:00+00:00,2026-04-30T07:30:00+00:00,0.0,scheduled,,3,Thursday,False,CAI → GIZ
