Flight Date,Airline,Airline IATA,Flight Number,Departure Airport,Departure IATA,Departure Scheduled,Departure Actual,Departure Delay,Arrival Airport,Arrival IATA,Arrival Scheduled,Arrival Actual,Arrival Delay,Flight Status,Aircraft,Departure Hour,Day of Week,Is Delayed,Route
2026-04-30,ITA Airways,AZ,895,Cairo International Airport,CAI,2026-04-30T03:45:00+00:00,,,Leonardo Da Vinci (Fiumicino),FCO,2026-04-30T07:10:00+00:00,,,scheduled,,3,Thursday,False,CAI → FCO
2026-04-30,Saudia,SV,6317,Cairo International Airport,CAI,2026-04-30T03:45:00+00:00,,,Leonardo Da Vinci (Fiumicino),FCO,2026-04-30T07:10:00+00:00,,,scheduled,,3,Thursday,False,CAI → FCO
2026-04-30,Brussels Airlines,SN,4202,Cairo International Airport,CAI,2026-04-30T03:45:00+00:00,,,Leonardo Da Vinci (Fiumicino),FCO,2026-04-30T07:10:00+00:00,,,scheduled,,3,Thursday,False,CAI → FCO
2026-04-30,Lufthansa,LH,5231,Cairo International Airport,CAI,2026-04-30T03:45:00+00:00,,,Leonardo Da Vinci (Fiumicino),FCO,2026-04-30T07:10:00+00:00,,,scheduled,,3,Thursday,False,CAI → FCO
2026-04-30,AirSERBIA,JU,7262,Cairo International Airport,CAI,2026-04-30T03:45:00+00:00,,,Leonardo Da Vinci (Fiumicino),FCO,2026-04-30T07:10:00+00:00,,,scheduled,,3,Thursday,False,CAI → FCO
2026-04-30,Bulgaria Air,FB,1750,Cairo International Airport,CAI,2026-04-30T03:45:00+00:00,,,Leonardo Da Vinci (Fiumicino),FCO,2026-04-30T07:10:00+00:00,,,scheduled,,3,Thursday,False,CAI → FCO
2026-04-30,Etihad Airways,EY,2854,Cairo International Airport,CAI,2026-04-30T03:45:00+00:00,,,Leonardo Da Vinci (Fiumicino),FCO,2026-04-30T07:10:00+00:00,,,scheduled,,3,Thursday,False,CAI → FCO
2026-04-30,Air Canada,AC,9889,Cairo International Airport,CAI,2026-04-30T03:45:00+00:00,,,Leonardo Da Vinci (Fiumicino),FCO,2026-04-30T07:10:00+00:00,,,scheduled,,3,Thursday,False,CAI → FCO
2026-04-30,Air Cairo,SM,501,Cairo International Airport,CAI,2026-04-30T03:30:00+00:00,,,Sharjah,SHJ,2026-04-30T09:00:00+00:00,,,scheduled,,3,Thursday,False,CAI → SHJ
2026-04-30,Nile Air,NP,141,Cairo International Airport,CAI,2026-04-30T03:30:00+00:00,,,Jazan,GIZ,2026-04-30T07:30:00+00:00,,,scheduled,,3,Thursday,False,CAI → GIZ
2026-04-30,Lufthansa,LH,8291,Cairo International Airport,CAI,2026-04-30T03:20:00+00:00,,,Frankfurt International Airport,FRA,2026-04-30T07:30:00+00:00,,,scheduled,,3,Thursday,False,CAI → FRA
2026-04-30,Air Arabia Abu Dhabi,3L,425,Cairo International Airport,CAI,2026-04-30T03:10:00+00:00,,,Abu Dhabi International,AUH,2026-04-30T08:50:00+00:00,,,scheduled,,3,Thursday,False,CAI → AUH
2026-04-30,Air France,AF,551,Cairo International Airport,CAI,2026-04-30T03:05:00+00:00,,,Charles De Gaulle,CDG,2026-04-30T07:45:00+00:00,,,scheduled,,3,Thursday,False,CAI → CDG
2026-04-30,KLM,KL,2361,Cairo International Airport,CAI,2026-04-30T03:05:00+00:00,,,Charles De Gaulle,CDG,2026-04-30T07:45:00+00:00,,,scheduled,,3,Thursday,False,CAI → CDG
2026-04-30,Delta Air Lines,DL,8203,Cairo International Airport,CAI,2026-04-30T03:05:00+00:00,,,Charles De Gaulle,CDG,2026-04-30T07:45:00+00:00,,,scheduled,,3,Thursday,False,CAI → CDG
2026-04-30,Tarco Air,3T,117,Cairo International Airport,CAI,2026-04-30T03:00:00+00:00,,,Port Sudan,PZU,2026-04-30T05:30:00+00:00,,,scheduled,,3,Thursday,False,CAI → PZU
2026-04-30,euroairlines,Q4,7567,Cairo International Airport,CAI,2026-04-30T03:00:00+00:00,,,Port Sudan,PZU,2026-04-30T05:30:00+00:00,,,scheduled,,3,Thursday,False,CAI → PZU
