iata_code,date,temp_max,temp_min,precipitation,wind_speed
LHR,2023-01-01,11.8,8.4,5.5,30.9
LHR,2023-01-02,8.4,0.3,1.4,12.5
LHR,2023-01-03,12.4,0.8,4.0,33.5
LHR,2023-01-04,12.9,10.1,1.1,31.6
LHR,2023-01-05,12.9,7.8,0.0,26.9
LHR,2023-01-06,11.9,5.8,1.5,30.7
LHR,2023-01-07,11.6,7.4,5.3,33.7
LHR,2023-01-08,8.9,4.8,1.5,27.7
LHR,2023-01-09,8.4,4.7,0.6,24.7
LHR,2023-01-10,12.6,3.8,6.8,33.9
LAX,2023-01-01,14.9,10.1,6.3,49.1
LAX,2023-01-02,14.2,7.0,2.1,16.8
LAX,2023-01-03,14.0,10.0,12.0,28.2
LAX,2023-01-04,16.6,13.3,9.4,27.6
LAX,2023-01-05,15.4,9.8,28.7,32.6
LAX,2023-01-06,15.1,7.8,0.0,14.3
LAX,2023-01-07,17.1,7.5,0.0,14.6
LAX,2023-01-08,15.6,7.7,2.9,17.6
LAX,2023-01-09,15.2,11.8,22.9,35.1
LAX,2023-01-10,15.4,12.1,50.5,42.6
ORD,2023-01-01,8.6,0.6,1.6,11.0
ORD,2023-01-02,5.4,-1.0,0.2,12.8
ORD,2023-01-03,9.4,2.8,13.8,15.3
ORD,2023-01-04,8.1,-0.4,0.0,17.8
ORD,2023-01-05,0.8,-0.9,1.4,15.7
ORD,2023-01-06,0.6,-3.5,0.2,13.5
ORD,2023-01-07,0.6,-6.0,0.0,10.2
ORD,2023-01-08,1.5,-4.8,0.0,9.0
ORD,2023-01-09,5.9,-5.1,0.0,15.1
ORD,2023-01-10,7.8,-0.5,2.0,14.8
JFK,2023-01-01,11.9,5.1,2.4,19.3
JFK,2023-01-02,11.8,3.2,0.4,9.9
JFK,2023-01-03,12.9,7.8,7.8,19.6
JFK,2023-01-04,16.3,9.8,2.6,21.6
JFK,2023-01-05,13.2,8.1,0.3,14.3
JFK,2023-01-06,8.0,3.8,6.0,19.9
JFK,2023-01-07,8.2,0.6,0.0,21.1
JFK,2023-01-08,4.4,-2.8,0.0,13.8
JFK,2023-01-09,7.0,1.1,1.5,19.9
JFK,2023-01-10,6.2,0.0,0.0,15.5
ATL,2023-01-01,18.8,9.6,0.5,14.8
ATL,2023-01-02,18.4,10.0,2.4,18.3
ATL,2023-01-03,19.0,15.6,8.2,24.6
ATL,2023-01-04,19.9,11.1,12.5,18.5
ATL,2023-01-05,15.0,6.6,0.0,21.0
ATL,2023-01-06,12.4,3.2,0.0,16.5
ATL,2023-01-07,15.3,1.5,0.0,9.7
ATL,2023-01-08,16.2,8.2,6.1,17.3
ATL,2023-01-09,11.8,4.8,1.6,20.6
ATL,2023-01-10,14.4,0.3,0.0,12.7
CDG,2023-01-01,14.7,11.5,4.8,30.8
CDG,2023-01-02,14.8,5.6,9.0,25.7
CDG,2023-01-03,9.1,4.9,1.1,26.1
CDG,2023-01-04,12.7,9.0,5.1,29.2
CDG,2023-01-05,13.3,10.2,1.6,25.0
CDG,2023-01-06,12.2,9.4,0.0,24.2
CDG,2023-01-07,10.7,5.9,1.2,27.9
CDG,2023-01-08,10.1,7.8,6.0,25.7
CDG,2023-01-09,7.8,4.3,1.3,30.8
CDG,2023-01-10,10.8,3.0,3.9,26.9
SFO,2023-01-01,14.0,8.0,0.0,23.9
SFO,2023-01-02,10.7,6.1,33.0,27.3
SFO,2023-01-03,14.6,7.6,0.3,16.2
SFO,2023-01-04,15.1,8.1,36.4,37.7
SFO,2023-01-05,12.8,8.4,14.7,30.7
SFO,2023-01-06,15.8,7.4,0.0,13.2
SFO,2023-01-07,13.6,11.4,9.9,27.8
SFO,2023-01-08,17.1,10.1,22.6,29.6
SFO,2023-01-09,15.4,9.6,31.7,38.2
SFO,2023-01-10,13.1,8.8,24.4,36.6
AMS,2023-01-01,15.6,10.5,3.6,42.4
AMS,2023-01-02,11.5,5.1,3.7,24.0
AMS,2023-01-03,8.4,2.1,0.4,30.9
AMS,2023-01-04,12.1,8.6,9.8,40.1
AMS,2023-01-05,10.9,9.1,0.8,31.0
AMS,2023-01-06,10.6,8.4,3.2,32.0
AMS,2023-01-07,11.2,8.2,0.7,31.4
AMS,2023-01-08,10.2,7.0,0.2,28.7
AMS,2023-01-09,8.1,4.7,4.5,25.6
AMS,2023-01-10,10.1,5.0,6.9,33.5
FRA,2023-01-01,13.9,9.2,0.0,18.9
FRA,2023-01-02,12.6,7.8,1.6,18.2
FRA,2023-01-03,9.1,3.4,0.2,16.0
FRA,2023-01-04,11.9,4.4,2.4,27.5
FRA,2023-01-05,11.8,8.8,3.4,25.0
FRA,2023-01-06,11.6,9.1,0.9,16.8
FRA,2023-01-07,10.6,6.4,0.0,17.3
FRA,2023-01-08,9.8,7.4,5.0,20.6
FRA,2023-01-09,8.3,4.7,5.9,21.6
FRA,2023-01-10,7.2,2.4,1.8,21.2
DFW,2023-01-01,23.1,13.8,0.0,22.1
DFW,2023-01-02,24.0,17.0,6.5,30.6
DFW,2023-01-03,19.5,9.6,0.0,20.9
DFW,2023-01-04,13.2,3.2,0.0,10.7
DFW,2023-01-05,14.4,2.7,0.0,10.2
DFW,2023-01-06,19.5,5.2,0.0,26.5
DFW,2023-01-07,17.7,9.6,0.1,23.0
DFW,2023-01-08,14.2,5.1,0.0,13.0
DFW,2023-01-09,19.1,4.2,0.0,22.3
DFW,2023-01-10,26.6,10.5,0.0,23.4
EWR,2023-01-01,12.3,4.9,1.9,16.3
EWR,2023-01-02,13.7,3.8,0.5,9.8
EWR,2023-01-03,13.4,7.2,10.6,17.9
